path,dataset,nodes,num_comms,modularity,assortativity,transitivity,spectral_gap
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/path/train/129.graphml,path,9,3,0.3984375,-0.14285714285714285,0.0,0.28407904384041416
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/path/valid/167.graphml,path,9,3,0.3984375,-0.14285714285714285,0.0,0.28407904384041416
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/ba/test/159.graphml,ba,8,2,0.1938775510204082,-0.8007246376811596,0.0,1.589925798583201
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/sbm/train/125.graphml,sbm,16,3,0.1700138504155124,-0.4640381672517785,0.35384615384615387,3.0389324917628073
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/er/test/143.graphml,er,5,1,0.0,-0.499999999999998,0.875,3.645751311064593
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/star/test/16.graphml,star,5,1,0.0,-1.0,0.0,2.0
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/path/test/176.graphml,path,13,3,0.48958333333333337,-0.09090909090909605,0.0,0.1479180885588085
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/complete/valid/145.graphml,complete,11,1,0.0,,1.0,10.999999999999998
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/sbm/valid/122.graphml,sbm,10,3,0.26331360946745563,-0.1895424836601313,0.4,1.3245633411270288
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/sfn/train/16.graphml,sfn,6,2,0.16666666666666663,-0.6799999999999996,0.3,1.6489719265887213
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/sfn/test/165.graphml,sfn,16,4,0.45625000000000004,-0.30364963503649556,0.1875,1.4621029573640993
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/sbm/train/113.graphml,sbm,9,3,0.08864265927977837,-0.3144654088050341,0.4090909090909091,3.34727367839118
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/complete/train/183.graphml,complete,17,1,0.0,,1.0,17.000000000000007
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/star/train/169.graphml,star,15,1,1.1102230246251565e-16,-1.0,0.0,3.7416573867739413
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/sfn/valid/152.graphml,sfn,11,2,0.3854166666666667,-0.5562261753494279,0.10344827586206896,1.2937386155128063
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/er/valid/157.graphml,er,19,3,0.17674740484429063,-0.07505408553835777,0.5254237288135594,5.577502249980494
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/complete/valid/124.graphml,complete,5,1,0.0,,1.0,5.0
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/sfn/test/1.graphml,sfn,13,4,0.26124567474048443,-0.45313304721029996,0.2,2.8659553386054064
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/ba/test/161.graphml,ba,9,1,0.0,-1.0,0.0,2.8284271247461907
/data/young/capstone/graph-learning-benchmarks/submodules/graph-token/graphs/star/test/141.graphml,star,12,1,0.0,-1.0,0.0,3.3166247903554007
